"Year","FIX","NONE","TWL","Total Landings","Total Dead"
2011,"4,420.85","0.00","1,728.40","6,149.25","6,253.97"
2012,"3,670.22","0.00","1,514.58","5,184.80","5,283.60"
2013,"2,585.07","0.00","1,402.13","3,987.20","4,050.48"
2014,"2,924.26","0.00","1,292.20","4,216.46","4,294.90"
2015,"3,554.94","0.00","1,470.29","5,025.23","5,105.52"
2016,"3,829.86","0.00","1,475.95","5,305.81","5,401.39"
2017,"3,680.67","0.00","1,669.97","5,350.64","5,465.76"
2018,"3,648.68","0.00","1,478.26","5,126.94","5,220.22"
2019,"3,568.27","0.00","1,625.44","5,193.71","5,372.81"
2020,"2,660.03","0.00","1,102.72","3,762.75","3,882.69"
